country,score,gdp,social,health,freedom,generosity,trust,year,iso_alpha,region,sub_region,dystopia_residual
Cameroon,4.252,0.4225,0.88767,0.23402,0.49309,0.20618,0.05786,2015,CMR,Africa,Sub-Saharan Africa,1.9506800000000002
Bulgaria,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872,2015,BGR,Europe,Eastern Europe,0.8994100000000005
Egypt,4.194,0.8818,0.747,0.61712,0.17288,0.11291,0.06324,2015,EGY,Africa,Northern Africa,1.59905
Yemen,4.077,0.54649,0.68093,0.40064,0.35571,0.09131,0.07854,2015,YEM,Asia,Western Asia,1.9233800000000003
Angola,4.033,0.75778,0.8604,0.16683,0.10384,0.12344,0.07122,2015,AGO,Africa,Sub-Saharan Africa,1.9494900000000004
Mali,3.995,0.26074,1.03526,0.20583,0.38857,0.18798,0.12352,2015,MLI,Africa,Sub-Saharan Africa,1.7931
Congo (Brazzaville),3.989,0.67866,0.6629,0.31051,0.41466,0.12388,0.11686,2015,COG,Africa,Sub-Saharan Africa,1.6815299999999995
Comoros,3.956,0.23906,0.79273,0.36315,0.22917,0.17441,0.199,2015,COM,Africa,Sub-Saharan Africa,1.9584799999999998
Uganda,3.931,0.21102,1.13299,0.33861,0.45727,0.29066,0.07267,2015,UGA,Africa,Sub-Saharan Africa,1.4277800000000003
Senegal,3.904,0.36498,0.97619,0.4354,0.36772,0.20843,0.10713,2015,SEN,Africa,Sub-Saharan Africa,1.44415
Gabon,3.896,1.06024,0.90528,0.43372,0.31914,0.06822,0.11091,2015,GAB,Africa,Sub-Saharan Africa,0.9984899999999994
Niger,3.845,0.0694,0.77265,0.29707,0.47692,0.19387,0.15639,2015,NER,Africa,Sub-Saharan Africa,1.8787000000000003
Cambodia,3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247,2015,KHM,Asia,South-eastern Asia,0.9815999999999998
Tanzania,3.781,0.2852,1.00268,0.38215,0.32878,0.34377,0.05747,2015,TZA,Africa,Sub-Saharan Africa,1.3809500000000003
Madagascar,3.681,0.20824,0.66801,0.46721,0.19184,0.21333,0.08124,2015,MDG,Africa,Sub-Saharan Africa,1.8511300000000002
Central African Republic,3.678,0.0785,0.0,0.06699,0.48879,0.23835,0.08289,2015,CAF,Africa,Sub-Saharan Africa,2.72248
Chad,3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269,2015,TCD,Africa,Sub-Saharan Africa,1.94279
Guinea,3.656,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139,2015,GIN,Africa,Sub-Saharan Africa,1.9917800000000003
Ivory Coast,3.655,0.46534,0.77115,0.15185,0.46866,0.20165,0.17922,2015,CIV,Africa,Sub-Saharan Africa,1.4171299999999998
Burkina Faso,3.587,0.25812,0.85188,0.27125,0.39493,0.21747,0.12832,2015,BFA,Africa,Sub-Saharan Africa,1.46503
Afghanistan,3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719,2015,AFG,Asia,Southern Asia,1.95255
Rwanda,3.465,0.22208,0.7737,0.42864,0.59201,0.22628,0.55191,2015,RWA,Africa,Sub-Saharan Africa,0.6703799999999998
Benin,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801,2015,BEN,Africa,Sub-Saharan Africa,1.6331899999999997
Syria,3.006,0.6632,0.47489,0.72193,0.15684,0.47179,0.18906,2015,SYR,Asia,Western Asia,0.32828999999999997
Burundi,2.905,0.0153,0.41587,0.22396,0.1185,0.19727,0.10062,2015,BDI,Africa,Sub-Saharan Africa,1.8334799999999998
Togo,2.839,0.20868,0.13995,0.28443,0.36453,0.16681,0.10731,2015,TGO,Africa,Sub-Saharan Africa,1.5672899999999998
Denmark,7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453,2016,DNK,Europe,Northern Europe,2.7397899999999993
Switzerland,7.509,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203,2016,CHE,Europe,Western Europe,2.6949700000000005
Iceland,7.501,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975,2016,ISL,Europe,Northern Europe,2.830980000000001
Norway,7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776,2016,NOR,Europe,Northern Europe,2.66507
Finland,7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,2016,FIN,Europe,Northern Europe,2.8254699999999993
Canada,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,2016,CAN,Americas,Northern America,2.70482
Netherlands,7.339,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927,2016,NLD,Europe,Western Europe,2.70735
New Zealand,7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904,2016,NZL,Oceania,Australia and New Zealand,2.47508
Australia,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331,2016,AUS,Oceania,Australia and New Zealand,2.546859999999999
Sweden,7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867,2016,SWE,Europe,Northern Europe,2.5469500000000007
Israel,7.267,1.33766,0.99537,0.84917,0.36432,0.32288,0.08728,2016,ISR,Asia,Western Asia,3.3103200000000004
Austria,7.119,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348,2016,AUT,Europe,Western Europe,2.693460000000001
United States,7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868,2016,USA,Americas,Northern America,2.7281400000000007
Costa Rica,7.087,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547,2016,CRI,Americas,Latin America and the Caribbean,3.35198
Puerto Rico,7.039,1.35943,1.08113,0.77758,0.46823,0.22202,0.12275,2016,PRI,Americas,Latin America and the Caribbean,3.00786
Germany,6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551,2016,DEU,Europe,Western Europe,2.5088299999999997
Brazil,6.952,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166,2016,BRA,Americas,Latin America and the Caribbean,3.50726
Belgium,6.929,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248,2016,BEL,Europe,Western Europe,2.6131100000000007
Ireland,6.907,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754,2016,IRL,Europe,Northern Europe,2.1602200000000007
Luxembourg,6.871,1.69752,1.03999,0.84542,0.5487,0.27571,0.35329,2016,LUX,Europe,Western Europe,2.1103700000000005
Mexico,6.778,1.11508,0.7146,0.71143,0.37709,0.11735,0.18355,2016,MEX,Americas,Latin America and the Caribbean,3.5588999999999995
Singapore,6.739,1.64555,0.86758,0.94719,0.4877,0.32706,0.46987,2016,SGP,Asia,South-eastern Asia,1.9940499999999988
United Kingdom,6.725,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399,2016,GBR,Europe,Northern Europe,2.1496299999999993
Chile,6.705,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451,2016,CHL,Americas,Latin America and the Caribbean,2.9552500000000004
Panama,6.701,1.18306,0.98912,0.70835,0.48927,0.2418,0.08423,2016,PAN,Americas,Latin America and the Caribbean,3.0051699999999997
Argentina,6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296,2016,ARG,Americas,Latin America and the Caribbean,3.1297100000000007
Czech Republic,6.596,1.30915,1.00793,0.76376,0.41418,0.09929,0.03986,2016,CZE,Europe,Eastern Europe,2.9618300000000004
United Arab Emirates,6.573,1.57352,0.87114,0.72993,0.56215,0.26591,0.35561,2016,ARE,Asia,Western Asia,2.214740000000001
